url,commits,LOC,star
https://api.github.com/repos/travis/cosmo/stargazers?per_page=1https://github.com/travis/cosmo ,4003,0,9
https://github.com/dustin/java-memcached-client ,978,0,486
https://github.com/astubbs/wicket-contrib-groovy ,34,0,4
https://github.com/tristan/django-servlet ,3,0,4
https://github.com/britt/hivedb ,594,0,44
https://github.com/britt/hivedb-blobject ,47,0,6
https://github.com/lukec/cpan-selenium-rc-perl ,188,0,31
https://github.com/jruby/activerecord-jdbc-adapter ,4580,0,457
https://github.com/timshadel/jboss-rules-presentation-may-2007 ,1,0,4
https://github.com/jashkenas/ruby-processing ,1234,0,1265
https://github.com/keibro/twikkir ,4,0,4
https://github.com/britt/github-java ,22,0,12
https://github.com/rictic/gunit ,32,0,3
https://github.com/mheath/adbcj ,251,0,141
https://github.com/mojodna/searchable ,115,2425,11
https://github.com/chrisvest/nanopool ,296,3271,8
https://github.com/jruby/jruby-rack ,1181,26371,393
https://github.com/scharris/jDBMD ,82,1270,6
https://github.com/raykrueger/hibernate-memcached ,142,1202,114
https://github.com/aaronharnly/scala-options ,9,105,3
https://github.com/ellen/cosmo ,3649,99668,2
https://github.com/davidB/scala-tools-parent ,8,0,4
https://github.com/davidB/scala-maven-plugin ,818,7216,464
https://github.com/ashanan/cosmo ,4007,102289,2
https://github.com/soemirno/timesheets ,4,111,3
https://github.com/n0ha/yui-compressor-ant-task ,123,824,57
https://github.com/sapo/sapo-broker ,343,420956,47
https://github.com/identityxx/penrose-server ,1009,92625,14
https://github.com/endisd/penrose-server ,1009,92625,4
https://github.com/takai/jruby-dsl-example ,1,314,2
https://github.com/credmp/maven-emacs-plugin ,5,1209,7
https://github.com/jboner/scala-otp ,107,4879,42
https://github.com/etorreborre/specs-before-google-code-import ,990,20998,16
https://github.com/richdougherty/scala-otp ,122,5014,13
https://github.com/torbjornvatn/guice-injector-tester ,7,114,2
https://github.com/litan/clustered-fold ,4,1471,3
https://github.com/wireframe/testdox-maven-plugin ,1,178,3
https://github.com/adimit/werti ,460,2482,12
https://github.com/hns/ringojs ,2242,23514,43
https://github.com/myabc/appfuse ,3057,31179,9
https://github.com/wireframe/jruby-redcloth ,1,778,2
https://github.com/wireframe/webstart-maven-plugin ,1,527,3
https://github.com/KenMacD/gunit ,34,841,2
https://github.com/stepheneb/otrunk-examples ,5293,18632,3
https://github.com/mrdon/maven-itblast-plugin ,31,346,9
https://github.com/talios/timetrackr ,10,2002,4
https://github.com/olamy/scm-git-test ,77,37,6
https://github.com/brianm/mxfingerd ,3,316,4
https://github.com/vberetti/maven-cli-plugin ,12,495,2
https://github.com/wolfdancer/cotta ,136,9961,5
https://github.com/sleberrigaud/maven-itblast-plugin ,24,231,2
https://github.com/mrdon/crowd-asf-directory ,1,199,2
https://github.com/fride/infoobject-plugin ,13,6358,2
https://github.com/andreaja/scalanet ,11,181,2
https://github.com/housejester/jsondumper ,73,2120,2
https://github.com/astubbs/testdox ,21,1229,6
https://github.com/dcrec1/vraptor2_sexy_urls ,7,15232,3
https://github.com/bobmcwhirter/microcontainer ,2215,95493,3
https://github.com/bobmcwhirter/vfs ,327,17705,2
https://github.com/jasonhudgins/hudgejar ,4,125,2
https://github.com/const/etl-java ,62,23037,3
https://github.com/inigo/olympic-mashup ,4,621,2
https://github.com/harlanji/xmpp4js ,9,3939,15
https://github.com/harlanji/soashable ,1,7064,22
https://github.com/vara/navigps ,397,16760,2
https://github.com/bobmcwhirter/jboss-deployers ,261,33354,3
https://github.com/matschaffer/corundum ,9,26,3
https://github.com/bobmcwhirter/drools ,6313,407180,11
https://github.com/kboufelliga/composer-framework ,59,3092,6
https://github.com/gensen/jhoptoad ,23,223,7
https://github.com/bobmcwhirter/jboss-naming ,43,3528,2
https://github.com/ph7/selenium-client ,320,31942,152
https://github.com/bobmcwhirter/jboss-rails ,264,7791,28
https://github.com/blaxter/simplegwtmvn ,1,275,3
https://github.com/koduki/hello-scala-web ,2,18,2
https://github.com/mojodna/httpclient-oauth ,3,653,2
https://github.com/davidB/scala-archetype-simple ,74,91,99
https://github.com/hoffrocket/jcoder ,4,1344,3
https://github.com/erka/sphinx-java-api ,54,5038,14
https://github.com/runesto/scalanet ,51,401,2
https://github.com/demian0311/silobase ,18,1024,2
https://github.com/koduki/twitcaffe ,1,1479,3
https://github.com/burris/dwr ,2100,146164,23
https://github.com/cschmidt/middlewhere-demo ,4,1451,2
https://github.com/lundmelcher/scalanet ,76,335,2
https://github.com/tcurdt/jdeb ,754,5565,366
https://github.com/sammyt/snooze ,53,5093,2
https://github.com/tcurdt/jdependency ,262,829,37
https://github.com/tbatchelli/floocite ,15,132220,2
https://github.com/georgewei/hibernate-memcached ,88,976,3
https://github.com/shs96c/webdriver ,408,55231,12
https://github.com/astubbs/wicket.get-portals2 ,11822,146104,2
https://github.com/virtix/webdriver ,1,55361,2
https://github.com/nigelsim/nsadapters ,9,287,2
https://github.com/jlewallen/git-teamcity ,89,1090,24
https://github.com/myabc/markdownj ,101,1345,441
https://github.com/jponge/tinyinjector ,3,71,2
https://github.com/also/postal ,18,1491,2
https://github.com/tcurdt/drift ,17,3856,4
https://github.com/bjartek/scala.java.no ,47,135,9
https://github.com/Laurian/powermagpie ,65,178048,8
https://github.com/ekoneil/gnip-java ,10,1529,3
https://github.com/awilhelm/izpack-with-ips ,1754,52638,4
https://github.com/rombert/projecteuler ,8,99,3
https://github.com/davidB/yuicompressor-maven-plugin ,141,6710,118
https://github.com/dkandalov/definilizer ,5,541,3
https://github.com/prevayler/prevayler ,647,9067,258
https://github.com/also/veneer-core ,12,607,2
https://github.com/also/veneer-spring ,4,70,2
https://github.com/also/veneer-struts ,6,28,2
https://github.com/also/routes ,64,1661,2
https://github.com/also/json ,12,578,2
https://github.com/also/json-view ,4,213,2
https://github.com/also/rjs-server ,12,159,2
https://github.com/bonnefoa/chantier ,30,4064,2
https://github.com/Kalisen/classpath-doctor ,57,3769,3
https://github.com/andyhot/maven-jawr-plugin ,14,403,2
https://github.com/wadey/gnip-java ,43,3400,2
https://github.com/rubbish/jruby-fit ,37,1392,3
https://github.com/3scale/3scale_ws_api_for_java ,90,1657,27
https://github.com/Hejki/miniature-assistant ,1,0,2
https://github.com/thewoolleyman/selenium-client ,171,7289,3
https://github.com/btakita/selenium-client ,173,7290,3
https://github.com/martint/old-swift ,65,4479,10
https://github.com/nirvdrum/maven-jython-plugin ,17,188,14
https://github.com/also/djava ,15,791,2
https://github.com/davecheney/oakland ,6,608,2
https://github.com/arosien/swift ,61,4106,3
https://github.com/born2snipe/flapjack ,287,8135,9
https://github.com/mechiland/buffalo ,62,19769,2
https://github.com/ag3ntj0n/newsfeeds ,9,98,7
https://github.com/wadey/gnip-java ,43,3400,2
https://github.com/rubbish/jruby-fit ,37,1392,3
https://github.com/also/bind-annotations ,3,129,2
https://github.com/3scale/3scale_ws_api_for_java ,90,1657,27
https://github.com/Hejki/miniature-assistant ,1,0,2
https://github.com/thewoolleyman/selenium-client ,171,7289,3
https://github.com/btakita/selenium-client ,173,7290,3
https://github.com/google/guava ,5401,377055,39479
https://github.com/apache/dubbo ,4418,176819,34139
https://github.com/zxing/zxing ,3567,44566,26674
https://github.com/proxyee-down-org/proxyee-down ,474,7385,25530
https://github.com/netty/netty ,10086,300258,25362
https://github.com/eugenp/tutorials ,21074,602725,23881
https://github.com/alibaba/arthas ,1372,64447,23855
https://github.com/ctripcorp/apollo ,2430,76771,22996
https://github.com/alibaba/druid ,6306,384059,22761
https://github.com/alibaba/fastjson ,3793,183091,22706
https://github.com/ctripcorp/apollo ,2430,76771,22996
https://github.com/alibaba/druid ,6306,384059,22761
